id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
10464f9b-a352-494f-bd4f-57f9d6479432,Odessa,Motorvrachtschip,gsk,280000.0,60.0,7.26,711.0,1965.0,12200.0,600.0,Caterpillar ,34.0,250.0,,2.0,,5.65,1050.0,,True,,,4666.67,393.81,61.0,122,False,
1052c92c-22eb-482c-afe5-283f40dc902a,Farmsum,Motorvrachtschip,pcshipbrokers,699000.0,80.0,7.24,1234.0,1971.0,8413.0,750.0,Volvo,30.0,320.0,15000.0,,welded,5.0,1650.0,,True,,True,8737.5,566.45,55.0,80,False,
11b51048-c9f7-44c4-9d52-d136f63e2b64,VERPUS,Duw/Sleepboot,rensendriessen,1550000.0,17.0,7.0,,,,,,,,,,,,,,,,,91176.47,,,115,False,
1282f0e6-507c-4c37-880c-1ae2d62039d3,Zwaantje,Motorvrachtschip,pcshipbrokers,125000.0,55.0,7.2,632.0,1957.0,82750.0,610.0,"Detroit,",25.0,340.0,13000.0,,riveted,5.72,,,True,,False,2272.73,197.78,69.0,122,False,
13321506-0f90-4f7c-b832-0a44cb283414,Amy,Motorvrachtschip,gtsschepen,625000.0,83.0,8.2,1246.0,1956.0,18963.0,450.0,Volvo Penta,60.0,330.0,12000.0,1.0,welded,5.0,1650.0,,True,,True,7530.12,501.61,70.0,122,False,
135e8e54-50bd-46cf-a402-1a0105b0298b,Chrisya,Motorvrachtschip,pcshipbrokers,1395000.0,100.0,9.5,2356.0,1975.0,30250.0,1400.0,Cummins,60.0,340.0,23000.0,,welded,6.1,2800.0,,True,,True,13950.0,592.11,51.0,122,False,58d1d502-db20-4a37-868f-d28162aeab5e
13e85b90-bbe5-42de-a992-f06da2076334,Alexandra,Woonschip,gsk,,33.78,6.5,100.0,2022.0,,,,19.0,,,,welded,5.36,,,,,,,,4.0,73,False,
14103bd3-4760-4de0-8647-8e604439a59a,Sméagol ,Motorvrachtschip,pcshipbrokers,350000.0,72.9,8.2,1076.0,1963.0,30000.0,811.0,Caterpillar,37.0,196.0,21000.0,,riveted,5.2,1450.0,,True,,False,4801.1,325.28,63.0,122,False,
144e453f-5e3b-4dcc-86f8-1782cbbdffc8,Meare,Motorvrachtschip,pcshipbrokers,1795000.0,109.0,11.4,3803.0,1974.0,10700.0,1825.0,Cummins,60.5,656.0,59000.0,,,7.1,3920.0,True,True,,True,16467.89,472.0,52.0,122,False,71ec5a56-d184-4ac4-89f2-e9deb4855fd8
159d5058-057a-47c9-a599-5c45ef16aafb,Hilde,Beunschip,pcshipbrokers,,59.96,6.65,681.0,1971.0,,,,,,,,,,,,,,,,,55.0,122,False,
